tramite_tipo,tramite_fecha,fecha_inscripcion_inicial,registro_seccional_codigo,registro_seccional_descripcion,registro_seccional_provincia,automotor_origen,automotor_anio_modelo,automotor_tipo_codigo,automotor_tipo_descripcion,Tipo_Vehiculo (calculada,Tipo_descripcion2,automotor_marca_codigo,automotor_marca_descripcion,automotor_modelo_codigo,automotor_modelo_descripcion,Marca_Modelo,automotor_uso_codigo,automotor_uso_descripcion,titular_tipo_persona,titular_domicilio_localidad,titular_domicilio_provincia,titular_genero,titular_anio_nacimiento,titular_pais_nacimiento,titular_porcentaje_titularidad,titular_domicilio_provincia_id,titular_pais_nacimiento_id,Dia_Robo,Mes_Robo,Año_Robo,marca_modelo_limpio,automotor_marca_limpio,tramite_fecha2
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2023-05-09,1996-01-10,1172,TANDIL Nº 2,Buenos Aires,Nacional,1996,12,SEDAN 4 PUERTAS,SEDAN,PUERTAS,17,FIAT,78,DUNA SDR AA,FIAT DUNA,1,Privado,Física,TANDIL,BUENOS AIRES,Masculino,1954,ARGENTINA,100,6,ARG,9,5,2023,FIAT DUNA,FIAT,2023-05-09
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-06-10,1993-11-05,1154,LA MATANZA Nº 06,Buenos Aires,Nacional,1993,12,SEDAN 4 PTAS,SEDAN,PTAS,17,FIAT,53,REGATTA SC,FIAT REGATTA,1,Privado,Física,V.MADERO,BUENOS AIRES,Masculino,1981,ARGENTINA,100,6,ARG,10,6,2022,FIAT REGATTA,FIAT,2022-06-10
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2023-11-02,2014-12-02,1237,LOMAS DE ZAMORA Nº 7,Buenos Aires,Protocolo 21,2014,04,RURAL 5 PUERTAS,RURAL,PUERTAS,047,FORD,998,ECOSPORT SE 1.6L MT N,FORD ECOSPORT,1,Privado,Física,LOMAS DE ZAMORA,BUENOS AIRES,Masculino,1985,ARGENTINA,50,6,ARG,2,11,2023,FORD ECOSPORT,FORD,2023-11-02
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2023-03-09,1991-03-25,1250,ITUZAINGÓ Nº 2 (EX. MORÓN Nº 11),Buenos Aires,Nacional,1991,12,SEDAN 4 PUERTAS,SEDAN,PUERTAS,37,RENAULT,57,RENAULT 9 TXE,RENAULT RENAULT,1,Privado,Física,ITUZAINGO,BUENOS AIRES,Femenino,1973,ARGENTINA,50,6,ARG,9,3,2023,RENAULT 9,RENAULT,2023-03-09
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2023-08-18,2005-01-21,1237,LOMAS DE ZAMORA Nº 7,Buenos Aires,Nacional,2005,99,FURGON VIDRIADO CON ASIENTOS,FURGON,VIDRIADO CON ASIENTOS,37,RENAULT,NP,KANGOO RL EXPRESS DIE 1PCL AA,RENAULT KANGOO,1,Privado,Física,VILLA LAMADRID,BUENOS AIRES,Masculino,1968,ARGENTINA,100,6,ARG,18,8,2023,RENAULT KANGO,RENAULT,2023-08-18
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2023-04-24,1996-01-02,21049,ROSARIO Nº 11,Santa Fe,Importado,1996,13,FURGON,FURGON,,112,RENAULT,122,EXPRESS,RENAULT EXPRESS,1,Privado,Física,ROSARIO,SANTA FE,Masculino,1970,ARGENTINA,50,82,ARG,24,4,2023,RENAULT EXPRESS,RENAULT,2023-04-24
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-06-08,1997-01-09,1158,TRES DE FEBRERO Nº 3,Buenos Aires,Nacional,1997,17,SEDAN 5 PUERTAS,SEDAN,PUERTAS,37,RENAULT,AH,19 RN INYECCION BIC.,RENAULT 19,1,Privado,Física,CIUDADELA,BUENOS AIRES,No identificado,1984,ARGENTINA,100,6,ARG,8,6,2022,RENAULT 19,RENAULT,2022-06-08
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2022-05-12,2012-10-17,1210,ESTEBAN ECHEVERRIA Nº 3,Buenos Aires,Importado,2012,21,COUPE,COUPE,,136,VOLKSWAGEN,483,SCIROCCO 1.4 TSI,VOLKSWAGEN SCIROCCO,1,Privado,Física,MONTE GRANDE,BUENOS AIRES,No identificado,1983,ARGENTINA,100,6,ARG,12,5,2022,VOLKSWAGEN SCIROCCO,VOLKSWAGEN,2022-05-12
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2023-09-08,2009-07-07,1104,BERAZATEGUI Nº 1,Buenos Aires,Nacional,2009,17,SEDAN 5 PTAS,SEDAN,PTAS,53,VOLKSWAGEN,LW,SURAN 90A,VOLKSWAGEN SURAN,1,Privado,Física,BERAZATEGUI,BUENOS AIRES,Masculino,1962,ARGENTINA,100,6,ARG,8,9,2023,VOLKSWAGEN SURAN,VOLKSWAGEN,2023-09-08
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2023-05-10,1995-04-04,13031,MAIPU Nº 1- MENDOZA,Mendoza,Importado,1993,10,TODO TERRENO,TODO,TERRENO,130,TOYOTA,041,4 RUNNER,TOYOTA,1,Privado,Física,GENERAL GUTIÉRREZ,MENDOZA,No identificado,1979,ARGENTINA,100,50,ARG,10,5,2023,TOYOTA 4,TOYOTA,2023-05-10
